comune,codice_istat,provincia,sigla_prov,pixel_blu,frac_blu,ha_ordinanza,ordinanza_str
Villarosa,086020,Enna,EN,290,0.0211,False,No
Aci Bonaccorsi,087001,Catania,CT,0,0.0,False,No
Aci Castello,087002,Catania,CT,3,0.0014,False,No
Aci Catena,087003,Catania,CT,25,0.0113,False,No
Acireale,087004,Catania,CT,5932,0.5865,True,Sì
Aci Sant'Antonio,087005,Catania,CT,42,0.0114,False,No
Adrano,087006,Catania,CT,14236,0.6894,True,Sì
Belpasso,087007,Catania,CT,78,0.0019,False,No
Biancavilla,087008,Catania,CT,431,0.0244,False,No
Bronte,087009,Catania,CT,674,0.0108,False,No
Calatabiano,087010,Catania,CT,11,0.0017,False,No
Caltagirone,087011,Catania,CT,0,0.0,False,No
Camporotondo Etneo,087012,Catania,CT,926,0.5755,True,Sì
Castel di Iudica,087013,Catania,CT,500,0.0196,False,No
Castiglione di Sicilia,087014,Catania,CT,24015,0.8078,True,Sì
Catania,087015,Catania,CT,99,0.0022,False,No
Fiumefreddo di Sicilia,087016,Catania,CT,0,0.0,False,No
Giarre,087017,Catania,CT,0,0.0,False,No
Grammichele,087018,Catania,CT,0,0.0,False,No
Gravina di Catania,087019,Catania,CT,986,0.7745,True,Sì
Licodia Eubea,087020,Catania,CT,345,0.0125,False,No
Linguaglossa,087021,Catania,CT,9741,0.6535,True,Sì
Maletto,087022,Catania,CT,1,0.0001,False,No
Mascali,087023,Catania,CT,0,0.0,False,No
Mascalucia,087024,Catania,CT,6,0.0015,False,No
Militello in Val di Catania,087025,Catania,CT,0,0.0,False,No
Milo,087026,Catania,CT,0,0.0,False,No
Mineo,087027,Catania,CT,0,0.0,False,No
Mirabella Imbaccari,087028,Catania,CT,0,0.0,False,No
Misterbianco,087029,Catania,CT,19,0.002,False,No
Motta Sant'Anastasia,087030,Catania,CT,0,0.0,False,No
Nicolosi,087031,Catania,CT,1,0.0001,False,No
Palagonia,087032,Catania,CT,0,0.0,False,No
Paternò,087033,Catania,CT,231,0.0065,False,No
Pedara,087034,Catania,CT,3,0.0006,False,No
Piedimonte Etneo,087035,Catania,CT,106,0.0158,False,No
Raddusa,087036,Catania,CT,0,0.0,False,No
Ramacca,087037,Catania,CT,0,0.0,False,No
Randazzo,087038,Catania,CT,629,0.0123,False,No
Riposto,087039,Catania,CT,0,0.0,False,No
San Cono,087040,Catania,CT,0,0.0,False,No
San Giovanni la Punta,087041,Catania,CT,1863,0.6699,True,Sì
San Gregorio di Catania,087042,Catania,CT,842,0.5755,True,Sì
San Michele di Ganzaria,087043,Catania,CT,0,0.0,False,No
San Pietro Clarenza,087044,Catania,CT,0,0.0,False,No
Sant'Agata li Battiati,087045,Catania,CT,41,0.0482,False,No
Sant'Alfio,087046,Catania,CT,41,0.0063,False,No
Santa Maria di Licodia,087047,Catania,CT,151,0.0225,False,No
Santa Venerina,087048,Catania,CT,7,0.0015,False,No
Scordia,087049,Catania,CT,0,0.0,False,No
Trecastagni,087050,Catania,CT,1,0.0002,False,No
Tremestieri Etneo,087051,Catania,CT,17,0.0104,False,No
Valverde,087052,Catania,CT,0,0.0,False,No
Viagrande,087053,Catania,CT,0,0.0,False,No
Vizzini,087054,Catania,CT,102,0.0032,False,No
Zafferana Etnea,087055,Catania,CT,1,0.0001,False,No
Mazzarrone,087056,Catania,CT,0,0.0,False,No
Maniace,087057,Catania,CT,2,0.0002,False,No
Ragalna,087058,Catania,CT,6468,0.6579,True,Sì
Acate,088001,Ragusa,RG,1914,0.0754,False,No
Chiaramonte Gulfi,088002,Ragusa,RG,355,0.0113,False,No
Comiso,088003,Ragusa,RG,1438,0.0883,False,No
Giarratana,088004,Ragusa,RG,6641,0.6102,True,Sì
Ispica,088005,Ragusa,RG,0,0.0,False,No
Modica,088006,Ragusa,RG,59012,0.8268,True,Sì
Monterosso Almo,088007,Ragusa,RG,844,0.0609,False,No
Pozzallo,088008,Ragusa,RG,0,0.0,False,No
Ragusa,088009,Ragusa,RG,97737,0.8967,True,Sì
Santa Croce Camerina,088010,Ragusa,RG,1589,0.1595,False,No
Scicli,088011,Ragusa,RG,29232,0.8552,True,Sì
Vittoria,088012,Ragusa,RG,34143,0.7658,True,Sì
Augusta,089001,Siracusa,SR,21737,0.7884,True,Sì
Avola,089002,Siracusa,SR,0,0.0,False,No
Buccheri,089003,Siracusa,SR,1,0.0001,False,No
Buscemi,089004,Siracusa,SR,8,0.0006,False,No
Canicattini Bagni,089005,Siracusa,SR,64,0.0165,False,No
Carlentini,089006,Siracusa,SR,112,0.0029,False,No
Cassaro,089007,Siracusa,SR,89,0.0182,False,No
Ferla,089008,Siracusa,SR,188,0.0318,False,No
Floridia,089009,Siracusa,SR,13,0.002,False,No
Francofonte,089010,Siracusa,SR,0,0.0,False,No
Lentini,089011,Siracusa,SR,0,0.0,False,No
Melilli,089012,Siracusa,SR,206,0.0062,False,No
Noto,089013,Siracusa,SR,30,0.0002,False,No
Pachino,089014,Siracusa,SR,0,0.0,False,No
Palazzolo Acreide,089015,Siracusa,SR,21,0.001,False,No
Rosolini,089016,Siracusa,SR,1016,0.0535,False,No
Siracusa,089017,Siracusa,SR,42588,0.8346,True,Sì
Solarino,089018,Siracusa,SR,8,0.0024,False,No
Sortino,089019,Siracusa,SR,16650,0.7235,True,Sì
Portopalo di Capo Passero,089020,Siracusa,SR,0,0.0,False,No
Priolo Gargallo,089021,Siracusa,SR,35,0.0025,False,No
Misiliscemi,081025,Trapani,TP,16990,0.7336,True,Sì
