data,Palermo,Messina,Catania,Enna,Trapani,Caltanissetta,Siracusa,Ragusa,Agrigento
1961-09-01,5.5529513,8.917133,22.836693,27.055046,3.763527,10.172019,38.888443,39.234077,15.923995
1961-10-01,61.67271,58.56569,21.298153,21.231722,85.3262,17.368206,20.437283,21.165123,50.900936
1961-11-01,147.74132,118.34832,55.51685,56.188713,111.29667,82.70552,68.35577,69.31521,127.23065
1961-12-01,100.99231,115.42223,57.83235,49.713833,80.58689,53.879963,53.445404,52.20465,73.99999
1962-01-01,70.38652,90.78454,26.376993,20.047834,44.015263,16.201777,38.0589,28.533144,21.659597
1962-02-01,67.2051,89.69246,39.620846,34.483032,39.536808,33.99933,45.127888,40.604656,32.576904
1962-03-01,108.74507,148.2983,88.9925,76.58508,72.07482,62.84566,101.15698,46.09367,83.70745
1962-04-01,35.742092,43.93159,24.602173,27.699884,40.51676,21.406813,18.458525,12.616944,20.371115
1962-05-01,1.996028,6.148052,1.3779128,1.4639835,0.17375061,1.8345937,0.09947076,0.022122152,1.5941923
1962-06-01,23.64838,28.872946,15.815036,22.268528,19.96924,15.254205,7.4869676,3.9476728,20.103676
1962-07-01,0.0047298796,3.184221,0.5217464,0.036951218,0.0,0.046059474,1.2699286,0.0,0.0
1962-08-01,1.2724836,2.3566768,4.4416423,3.1937494,0.10173423,0.65382516,5.608012,14.696201,0.74686277
1962-09-01,43.22108,47.729805,8.829662,13.920628,22.137573,9.260384,14.704466,21.718126,9.950908
1962-10-01,121.56383,161.1713,160.72006,139.4848,102.29256,133.69896,143.64015,119.47357,148.07404
1962-11-01,76.31005,111.15526,63.23578,52.14849,81.74228,63.62645,80.51197,67.19124,77.93212
1962-12-01,164.4563,131.64583,44.682804,72.92699,89.65769,80.16023,45.87543,50.2402,95.99826
1963-01-01,57.544235,104.53452,62.621845,44.62356,43.769894,46.457054,72.200615,39.87115,48.76711
1963-02-01,122.408844,109.98158,69.02298,86.75229,92.68864,114.21767,77.31907,68.91508,139.78
1963-03-01,74.62426,83.99881,46.380653,44.083817,50.33608,45.039547,46.283302,25.244263,51.75103
1963-04-01,62.375557,94.95507,55.247402,48.541016,53.3443,49.076668,57.68475,27.323578,53.483536
1963-05-01,74.11137,76.71941,54.3553,82.69181,53.970165,65.87692,55.717983,36.747753,47.897022
1963-06-01,23.916477,31.467499,23.309074,13.287565,25.459103,16.42887,21.230453,14.095436,14.303699
1963-07-01,39.012413,85.454956,69.13785,60.25563,27.716112,57.93083,83.46063,61.386562,18.466467
1963-08-01,38.76026,61.145584,28.12712,20.730913,43.53329,8.847104,10.168532,6.317612,5.234122
1963-09-01,53.435825,42.500088,47.18512,55.799896,67.23866,48.553383,56.26266,41.09326,50.131092
1963-10-01,102.07884,175.01761,71.07229,58.642162,80.96751,51.90126,81.936424,83.4189,61.76744
1963-11-01,52.611065,39.84483,21.339247,24.676912,59.555134,26.694832,16.888533,13.961843,42.368538
1963-12-01,99.54913,140.97136,105.480034,112.530815,112.543945,94.8055,99.030914,70.25877,106.6737
1964-01-01,87.234665,132.60793,129.39842,98.61098,74.2359,59.494556,191.194,90.85647,53.858368
1964-02-01,78.62301,101.94374,43.738983,43.872738,69.07847,50.657043,41.931282,31.498001,67.31764
1964-03-01,50.701828,87.879364,39.441254,42.86425,38.26341,37.755203,21.792938,26.627453,44.82463
1964-04-01,90.789825,84.065865,157.91605,107.71857,59.051304,56.951527,152.10405,79.07608,49.49448
1964-05-01,12.629382,30.030706,21.14474,12.13369,4.964789,13.387153,27.302252,17.119577,10.366924
1964-06-01,30.622305,73.59058,47.974068,57.990814,9.737922,36.602757,36.391476,18.878054,21.449202
1964-07-01,11.1238785,19.101547,6.6591773,12.645152,1.6381425,8.613505,17.24057,9.430352,3.9336946
1964-08-01,93.06003,70.740234,72.88026,95.19877,42.59169,93.089134,39.18712,65.024414,77.04565
1964-09-01,10.781215,53.760036,22.021694,16.801851,2.516576,3.8876398,15.5839205,3.208538,1.0662029
1964-10-01,82.99512,97.33262,46.435406,58.19313,102.67101,38.17663,47.761158,29.159052,60.268337
1964-11-01,54.802612,133.68509,78.7367,71.01519,46.0149,41.396168,33.171112,49.188786,37.93616
1964-12-01,173.39978,189.27386,155.78882,164.95963,132.10759,174.80692,179.2327,164.1477,193.49396
1965-01-01,153.96875,216.75516,126.58825,103.799614,107.72807,99.05557,143.65404,116.18487,124.08596
1965-02-01,91.007576,67.48968,31.570988,29.519754,91.90488,59.561543,72.76681,77.75297,80.19523
1965-03-01,37.26519,47.92521,28.43973,21.172836,42.61403,31.252695,29.602083,18.84314,32.372124
1965-04-01,33.69114,30.916595,15.768437,12.546496,44.477337,27.797642,21.89808,28.302103,39.121353
1965-05-01,5.827951,12.018045,5.460402,4.9022665,0.21928707,2.9529698,5.3709474,8.140944,2.2117293
1965-06-01,0.0018064539,1.2940811,0.3810414,0.15497923,0.012219107,0.0,0.14307202,0.0,0.0
1965-07-01,0.03847736,0.16053064,0.011880896,0.34257507,0.0,0.056777865,0.034544587,0.0,0.0013704997
1965-08-01,26.7735,20.07949,35.621136,23.587334,29.971159,20.112482,44.440693,46.848885,19.13804
1965-09-01,67.52948,67.5109,26.422577,22.855253,98.301765,15.83581,9.50265,6.644546,24.627485
1965-10-01,97.853745,164.78886,224.69951,130.52444,79.33108,97.47413,361.3566,195.75085,129.23347
1965-11-01,56.588856,51.43608,28.724392,37.63595,68.84067,58.460106,28.351809,34.242172,76.84318
1965-12-01,85.62384,97.92202,47.2458,46.902885,80.82512,58.265957,52.651566,56.30231,63.396458
1966-01-01,90.29019,148.74065,55.16212,64.42167,70.44228,72.266106,42.684116,48.025864,91.29494
1966-02-01,50.127033,34.30285,18.54791,23.455858,39.183743,36.86152,20.478792,35.026752,43.068825
1966-03-01,117.074715,124.66278,81.014854,72.171074,74.31317,59.09558,92.87566,68.662415,57.426483
1966-04-01,105.06477,127.62333,95.41133,78.571,94.30704,59.9153,73.54206,46.0517,52.09646
1966-05-01,93.67564,128.17636,122.46611,113.669365,74.81258,113.857346,94.27316,20.979467,86.01598
1966-06-01,5.6826153,10.524084,3.0643783,3.558205,5.3746433,4.268531,0.602499,0.0,2.7662256
1966-07-01,0.6970768,1.504965,1.5312463,1.3640227,0.1160678,0.2911142,0.0,0.0,0.094656065
1966-08-01,0.18086015,0.34399968,0.044830337,0.026625972,0.0040836134,0.0,0.56240416,0.5561387,0.0
1966-09-01,34.164825,41.044,33.33346,34.110676,33.526577,36.368275,43.560516,27.129524,27.33144
1966-10-01,98.56977,132.99896,138.50328,141.09885,90.5626,113.075714,127.46446,124.39531,127.09092
1966-11-01,113.58288,88.39832,64.93562,83.94748,140.00014,115.20969,69.34321,72.19119,108.328896
1966-12-01,92.647446,137.21024,22.203613,26.605152,68.31551,36.22238,29.631416,35.6288,49.931446
1967-01-01,75.754326,82.147766,43.84325,44.09815,54.345974,54.978355,50.308926,43.105984,66.6329
1967-02-01,101.179985,147.50026,126.283394,108.06587,106.13941,91.8534,138.28967,84.62991,99.615166
1967-03-01,44.363503,69.00685,22.023296,31.853388,22.244654,28.470608,28.163189,23.453209,23.223833
1967-04-01,48.221733,57.67367,21.770636,25.449568,44.87827,30.233107,24.489485,12.8216,30.976173
1967-05-01,18.348883,33.204113,22.11157,21.255095,14.166725,14.579724,13.179333,19.147549,10.6923685
1967-06-01,1.6827393,6.9072733,0.4476735,0.6320541,0.10198047,0.5309758,0.026749307,0.0,0.29667926
1967-07-01,6.552531,12.341737,14.28893,14.454361,1.6771911,12.229872,8.645723,1.5245214,9.828803
1967-08-01,15.35009,17.887537,19.435017,9.48694,4.6006293,8.702512,9.434672,7.221255,9.008388
1967-09-01,45.274185,55.628906,27.26821,26.693012,41.382748,28.697035,14.550453,15.158869,21.131115
1967-10-01,34.702034,24.229488,55.25392,23.41842,34.695793,29.6871,119.47238,51.68792,38.09039
1967-11-01,79.00606,103.930046,50.173298,61.456505,43.072983,57.327168,49.7983,45.425415,68.84549
1967-12-01,125.72596,127.78279,79.72224,67.91667,118.07947,77.69345,93.898796,100.84467,91.43821
1968-01-01,149.56877,149.89252,91.42278,83.30686,101.13946,88.58031,124.12346,110.84952,100.74428
1968-02-01,35.59748,86.041306,48.061855,49.550022,28.635302,32.507175,42.12719,29.360874,38.893738
1968-03-01,57.840565,51.89447,24.398531,34.857693,56.833923,35.811977,26.701302,19.07841,48.8737
1968-04-01,20.284655,16.336325,9.475849,14.058234,23.485804,19.364058,13.577519,17.511444,21.475134
1968-05-01,24.129015,28.058897,15.721935,12.378941,5.890612,11.88845,12.415492,6.6311507,16.55033
1968-06-01,56.051655,66.03667,30.146833,31.096127,66.90915,30.542688,41.75904,39.741608,42.71832
1968-07-01,0.31182596,0.06672154,0.8250233,2.7658746,0.0,0.26294956,4.736487,0.0,0.06870018
1968-08-01,4.6287045,14.176861,8.2623415,7.825852,1.2650627,1.6454797,0.26942232,0.71285844,0.94409865
1968-09-01,10.863007,23.717163,25.289047,24.35623,4.4663277,14.873589,29.009645,22.048359,6.759218
1968-10-01,35.69571,47.820164,20.052265,14.327359,19.698975,11.877894,52.222046,21.981138,14.514692
1968-11-01,96.84179,84.74279,38.558453,53.96459,110.37762,68.63153,34.209007,39.333042,85.488075
1968-12-01,163.99002,247.07127,105.70637,105.15918,156.01294,121.830376,135.30812,102.883514,141.76189
